id,name,surveyed,def
23,Maine,20,50
21,Kentucky,24,54
28,Mississippi,115,59
25,Massachusetts,71,63
35,New Mexico,44,64
49,Utah,100,70
47,Tennessee,57,72
41,Oregon,38,74
42,Pennsylvania,205,75
33,New Hampshire,22,77
46,South Dakota,14,79
20,Kansas,75,80
22,Louisiana,131,81
56,Wyoming,16,81
30,Montana,27,81
31,Nebraska,38,82
13,Georgia,224,83
39,Ohio,146,84
05,Arkansas,52,87
04,Arizona,119,87
48,Texas,573,87
45,South Carolina,101,87
51,Virginia,95,87
29,Missouri,124,89
55,Wisconsin,73,89
16,Idaho,48,90
38,North Dakota,11,91
32,Nevada,36,92
24,Maryland,26,92
27,Minnesota,73,93
18,Indiana,88,93
36,New York,46,93
09,Connecticut,32,94
53,Washington,33,94
06,California,723,94
17,Illinois,128,95
01,Alabama,114,95
34,New Jersey,57,95
40,Oklahoma,134,95
19,Iowa,79,95
54,West Virginia,20,95
12,Florida,44,95
08,Colorado,68,97
37,North Carolina,81,99
26,Michigan,131,99
50,Vermont,10,100
